Name,Uses,Url
Azee,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jbpnjvst3ph0xnrq199o.jpg"
Anovate,Treatment of Piles,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/gnsem6ircqxmwmjkprkw.jpg"
Allegra-M,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/eh4vt8l9fuo4nvx3qwif.jpg"
Alex,Treatment of Dry cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/mqdfwomjrjv3lvlq08ae.jpg"
Armotraz, Breast cancer,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/sytnbc3dtkhxddk5smxs.jpg"
Albendazole,Treatment of Parasitic infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c3f704ec89504863915d4433a19d0014.jpg"
Arkamin,Treatment of Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/kvdgswy8eyzkwmulwlyf.jpg"
Altraday, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ahmbxmi2bd1wiojpxqld.jpg"
Aldigesic-SP, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/86cc6259fcc8462f876cdeb85d9aa87d.jpg"
Aldactone, Hypertension (high blood pressure) Edema Low potassium Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/thkgrdicoq6adxgpwu2e.jpg"
Aricep-M, Alzheimer's disease,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a458dc3089a64183962fe107b20f3481.jpg"
Andre,Treatment of Allergic eye disease,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/0d82813d035349cea0c99da3fd52469d.jpg"
Anafortan,Treatment of Abdominal pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/4424607f37424d51b2aac2c9d8b18ecd.jpg"
Ambrodil-S,Treatment of Cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/c25660f6b3f2447ea4666a0780982a3f.jpg"
Asthakind-DX,Treatment of Dry cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/769827d9bf334847a74374b4af97921a.jpg"
Aceclo, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qdjkuq9eipidsadmcosn.jpg"
Althrocin,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/suqhdntiejebthfbdpy0.jpg"
Asthalin,Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/45fbf90154794c7dae0630d5c201f368.jpg"
Axcer, Prevention of heart attack and stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/6c8ab4b43c254532b37e035eaf3f931c.jpg"
Arachitol,Treatment of Vitamin D deficiencyTreatment of Osteoporosis,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/485c7b62664a44fd984080ee0ee15906.jpg"
Alfoo,Treatment of Benign prostatic hyperplasia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/a34pbmqti99hu1y1zz5r.jpg"
Acemiz, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/m7bioz7rvmxcfshqu3iz.jpg"
Azicip,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/dwqhqfos0hlzsltrwraf.jpg"
Aquasol,Treatment of Vitamin A deficiency,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mytnmvyspijambekkody.jpg"
Anobliss,Treatment of Anal fissure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/612a8de029ee416ab320d109d19d2293.jpg"
Almox,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/h4y2f030gju0ftmou0t5.jpg"
AF,Treatment of Syndromic treatment of vaginal discharge,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/hfobjftgqrervreplh6u.jpg"
Aptimust, Appetite stimulant,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/uhilkoau5xmywwkw1ekx.jpg"
AB,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/pydoe2cjed0vjf2or3kk.jpg"
Adaferin, Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/c4fqrcdtmux6sdv8lq4o.jpg"
Amitone,Treatment of Depression Neuropathic painTreatment of Migraine,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ffddf4528375471cb02d465b546f4697.jpg"
Ambrodil,Treatment of Respiratory tract disorders associated with viscid mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qwyph0ryjvrnimzm98tq.jpg"
AB-Flo-N,Treatment of Chronic obstructive pulmonary disease (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/lwfoqt9iygk2n0rkyhql.jpg"
Atorva, High cholesterolPrevention of Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1fa02b0711dc4f91a367fdd438cb6e98.jpg"
Aziderm,Treatment of Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/20a65251c88c460bb990c015f7ed0dea.jpg"
Acogut,Treatment of Functional dyspepsia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/346a811d314244c892a10b9426058a16.jpg"
Ano,Treatment of Anal fissure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/wysekhb41x9l4gs2e4lq.jpg"
Angispan,Treatment of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/6c48a874d84443f5bf6df270f1faf50d.jpg"
Apdrops,Treatment of Bacterial eye infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b6323f9cbdda4899973d8778998fd4d0.jpg"
Acivir, Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/t8e7gul8px0js0dzcdwf.jpg"
Aldigesic, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/fef09c2f7cca4f778b510943b0d0a8c9.jpg"
Acitrom,Treatment and prevention of Blood clots,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/uo9v3rybrau5xkqzscnb.jpg"
Alerid,Treatment of Allergic conditions,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dsv803hfrd1pxyfcqw66.jpg"
Azax,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a0767b125b584ef6996af0687504a948.jpg"
Aztor, High cholesterolPrevention of Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/butfijqwslbzkav0x5yl.jpg"
Alciflox,Treatment of Bacterial eye / ear infectionsTreatment of Eye infection with inflammation,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/5e1e2a758d6d463b9ae475a504499290.jpg"
Amifru,Treatment of Edema,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rwb8srqgdnglciceymku.jpg"
Asthakind,Treatment of Cough with mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b886acf9c302423a89ba9d4b7016e06c.jpg"
Amaryl,Treatment of Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/xz5q9xefnf4qurvkdyss.jpg"
Add,Treatment of Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/gb6vecck2cb2zlq4ibgj.jpg"
Aceclo-MR,Treatment of Muscular pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/t0ulcqbfllk7yqmqvkzt.jpg"
Ambrodil-LX,Treatment of Cough with mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/vvkfwgws2p2al9jwdidw.jpg"
Asthakind-LS,Treatment of Cough with mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/hifiqtanuufm47lmqehp.jpg"
Acton-OR, Pain relief Fever,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/39e30c94-8c8c-4919-ad04-4956837dc152.jpeg"
Avamys,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ag2u6xs4ngrpzyrxxgwg.jpg"
Acenac-P, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/yzd9gpvunwo5iug91gth.jpg"
Aerocort, Asthma,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zz57ek6tsj8boa5kwj1q.jpg"
Acemiz-S, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/rajey5dlkp8loidd9zl6.jpg"
Azeflo,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1303675f89f54c9db683f49da9f44454.jpg"
Ace, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/z61phiiji1v3ecc5th6y.jpg"
Antiflu,Treatment of Influenza (flu),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/xlfda4lsg7frx2xzwt3g.jpg"
Admenta, Alzheimer's disease,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/m1yvfvbvj5gpno8aoi7c.jpg"
Azmarda,Treatment of Heart failure,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3e5bdb85-23a9-4179-a583-99dbdde44bb6.jpeg"
Alerid-D,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/kvv547fcb11clzlc0g7a.jpg"
Aldosmin, Varicose veins,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/3c5f6e710dd74dffbf0ba5cc4b6c5a07.jpg"
Allercet-DC,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/c5la63bs8j1m7llx7uyy.jpg"
Amlip,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/276c276ba0c94e0d99376c98295d8024.jpg"
Amlopres-AT,Treatment of Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/428b24c1abf74d97a441ea6bfc46f151.jpg"
Aztolet, Heart attack prevention and high cholesterol,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/dxecuqrrahyjkoylyce4.jpg"
Azikem,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/851f7e8785ae4c86afc5133725d5c956.jpg"
Amlovas,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/eow80qqpjlwuvoopjkjd.jpg"
Acenac-MR,Treatment of Muscular pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/adn1oxsqip7debtpbnk6.jpg"
Atorlip-F,Treatment of High cholesterolPrevention of Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ralku3v3ayimponr2kpc.jpg"
A-Ret,Treatment of Acne Acute promyelocytic leukaemia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/hoiok8rirykpywxqsdhf.jpg"
AB-Flo,Treatment of AsthmaTreatment of BronchitisTreatment of Chronic obstructive pulmonary disease (COPD),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/ndlw5exiusjlnsgpa0gr.jpg"
Amantrel,Treatment of Parkinson's disease,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/a2c8j0vmdbyualoq4l6d.jpg"
Aquazide,Treatment of Hypertension (high blood pressure)Treatment of Edema,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/eeun8esuvqmhpsog8jde.jpg"
Alkasol,Treatment of GoutTreatment of Kidney stone,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qki9ikl69kfatj6clsck.png"
Ajaduo,Treatment of Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/rlmbfsbjzognbiresfcc.jpg"
Advent,Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qwtpgfw60k20hhc4jpzq.jpg"
Andial, Diarrhea,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/id3kkusufvufdd7al91r.jpg"
Alkof,Treatment of Dry cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/smb8unr3vj5vuie3ct3s.jpg"
Amlodac,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/oivmzuonylh9edbwnpv0.jpg"
Alaspan, Cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d7e14c9c64264eaca888e53315fff590.jpg"
Anabel,Treatment of Mouth ulcers,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/d04ec15787c244baaa562749956b514b.jpg"
Air-M,Treatment of Sneezing and runny nose due to allergies,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/63fcbd108131463d9a9c3e2a8db18ce1.jpg"
Ace-Proxyvon, Pain relief,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/btegs8famikztawlnorm.jpg"
Aten,Treatment of Hypertension (high blood pressure)Treatment of Angina (heart-related chest pain)Treatment of ArrhythmiaPrevention of Heart attack,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/yd9x9zvhxhokhw1vfnuy.jpg"
Aziwok,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/mlj5besvcjq6pjx7zzyw.jpg"
Ambrolite-S, Cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/575fbd82e6d3489e82a716cfd6b89dac.jpg"
Ambrodil-Plus, Common cold,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/1695a9c45032412891023693b9c70c6a.jpg"
Asomex,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/b12qdkltkixelgjfutuf.jpg"
Amlosafe, Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/jfkrj7e7qy7kvqjb7gch.jpg"
Angiplat,Treatment of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/970ec9f5eeb8480e8af37d6fec1d78bb.jpg"
Azibact,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/m8cobpxx2wff3aeptrn9.jpg"
Amrox-LS,Treatment of Cough with mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cb6d22809e33492f8eefd76971e746fc.jpg"
Abzorb,Treatment of Fungal skin infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/hsw4l9wcx4xspvqg1nee.png"
Arip, Schizophrenia Mania,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ad151bd1402147358a53ed5d6bc7ff4e.jpg"
Axogurd-SR,Treatment of Neuropathic pain,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zrcvsgzt9iiqcowklagh.jpg"
Alfusin,Treatment of Benign prostatic hyperplasia,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/q6jvfktxywudxnztipjw.jpg"
ATM,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/sekpjjnrd6vehtsjfncj.jpg"
Alerfix,Treatment of Respiratory tract disorders associated with viscid mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/zmvcksshowex5pp3p4bk.jpg"
Amlovas-AT,Treatment of Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/qhysxv6qc4oldtr29ygt.jpg"
Alivher,Treatment of Erectile dysfunction,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/befja14cnqzzjpv8aoxy.jpg"
Aprezo, Plaque psoriasis,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/yhf8jfvuawxpb0p7mm2g.jpg"
Acnesol,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/u4us7b8kdg0szled1lnd.jpg"
Amlopres,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/kpcfch3rqoqgvxtn8exv.jpg"
Actibile,Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/ac2d065c25df4b819d9f4f872bdc908f.jpg"
Alex-L,Treatment of Dry cough,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/n5vvt9nfnzmpyen6rjzt.jpg"
Amtas,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/n33hxfz2x9gnn38go5zc.png"
Arbitel-Trio, Hypertension (high blood pressure),"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/fm1l5li5xtgffad5rhmy.jpg"
Asthakind-P,Treatment of Cough with mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/taol7bhbnf9qlud0nqmc.jpg"
Azulix,Treatment of Type 2 diabetes mellitus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/51adc2d022e245a58ecb69e83dd3d9c3.jpg"
Aqualube,Treatment of Dry eyes,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/oz7n4jf0tjs9v5rvlayv.jpg"
Ambrolite,Treatment of Respiratory tract disorders associated with viscid mucus,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/qsonjrz8itujtlypau40.jpg"
Acuclav,Treatment of Bacterial infections,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/f5adefe53022481c9a5217992fe8600d.jpg"
Acutret,Treatment of Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/e5f11a9aa45845c7b4d36f440a0b8a1f.jpg"
Adalene,Treatment of Acne,"https://onemg.gumlet.io/l_watermark_346,w_480,h_480/a_ignore,w_480,h_480,c_fit,q_auto,f_auto/cropped/adg8hob7slvaxeeziydx.jpg"
